label,message
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Reply STOP to opt out.
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Reply STOP to opt out.
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure Do not ignore this message."
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure Do not ignore this message."
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com. Msg&Data rates may apply.
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure Do not ignore this message."
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Reply STOP to opt out.
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Msg&Data rates may apply.
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Msg&Data rates may apply.
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com.
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com. Msg&Data rates may apply.
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure Reply STOP to opt out."
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Reply STOP to opt out.
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure Msg&Data rates may apply."
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Do not ignore this message.
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com.
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com. Reply STOP to opt out.
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Do not ignore this message.
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com. Msg&Data rates may apply.
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com.
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com.
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Reply STOP to opt out.
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure Reply STOP to opt out."
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com.
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com. Do not ignore this message.
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure Do not ignore this message."
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure Do not ignore this message."
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com. Do not ignore this message.
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure"
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com.
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com. Do not ignore this message.
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Msg&Data rates may apply.
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com. Msg&Data rates may apply.
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Reply STOP to opt out.
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure Do not ignore this message."
spam,AT&T Free Msg: Your account has been flagged for unusual activity. Review it now at att-support-check.com. Reply STOP to opt out.
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure"
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure Do not ignore this message."
spam,"Hi, it's AT&T. Your wireless bill is overdue. Avoid service disruption: att.com/billpay-secure"
spam,AT&T Alert: You qualify for a free iPhone 16 Pro upgrade. Claim now at att-giftcenter.com.
spam,Your iCloud has been suspended due to suspicious activity. Restore access at apple-restore-secure.net Reply STOP to opt out.
spam,"Apple Pay declined a $429 charge. If this wasn't you, call 1-800-APPLE-ID immediately. Reply STOP to opt out."
spam,Apple Security Alert: Suspicious sign-in attempt from an unrecognized device. Visit appleid-lock.com to secure your account. Msg&Data rates may apply.
spam,Your iCloud has been suspended due to suspicious activity. Restore access at apple-restore-secure.net Do not ignore this message.
spam,"Apple Pay declined a $429 charge. If this wasn't you, call 1-800-APPLE-ID immediately."
spam,Your iCloud has been suspended due to suspicious activity. Restore access at apple-restore-secure.net Do not ignore this message.
spam,"Apple Pay declined a $429 charge. If this wasn't you, call 1-800-APPLE-ID immediately. Msg&Data rates may apply."
spam,"Apple Pay declined a $429 charge. If this wasn't you, call 1-800-APPLE-ID immediately. Reply STOP to opt out."
spam,"Apple Pay declined a $429 charge. If this wasn't you, call 1-800-APPLE-ID immediately. Reply STOP to opt out."
spam,Apple Security Alert: Suspicious sign-in attempt from an unrecognized device. Visit appleid-lock.com to secure your account.
spam,"Apple Pay declined a $429 charge. If this wasn't you, call 1-800-APPLE-ID immediately. Do not ignore this message."
spam,Your iCloud has been suspended due to suspicious activity. Restore access at apple-restore-secure.net
spam,"Apple Pay declined a $429 charge. If this wasn't you, call 1-800-APPLE-ID immediately."
spam,Your iCloud has been suspended due to suspicious activity. Restore access at apple-restore-secure.net Msg&Data rates may apply.
spam,Apple Security Alert: Suspicious sign-in attempt from an unrecognized device. Visit appleid-lock.com to secure your account. Reply STOP to opt out.
spam,Apple Security Alert: Suspicious sign-in attempt from an unrecognized device. Visit appleid-lock.com to secure your account.
spam,"Apple Pay declined a $429 charge. If this wasn't you, call 1-800-APPLE-ID immediately. Do not ignore this message."
spam,"Apple Pay declined a $429 charge. If this wasn't you, call 1-800-APPLE-ID immediately."
spam,Apple Security Alert: Suspicious sign-in attempt from an unrecognized device. Visit appleid-lock.com to secure your account. Msg&Data rates may apply.
spam,"Apple Pay declined a $429 charge. If this wasn't you, call 1-800-APPLE-ID immediately. Do not ignore this message."
spam,Apple Security Alert: Suspicious sign-in attempt from an unrecognized device. Visit appleid-lock.com to secure your account. Msg&Data rates may apply.
spam,"Apple Pay declined a $429 charge. If this wasn't you, call 1-800-APPLE-ID immediately. Msg&Data rates may apply."
spam,Your iCloud has been suspended due to suspicious activity. Restore access at apple-restore-secure.net Msg&Data rates may apply.
spam,Apple Security Alert: Suspicious sign-in attempt from an unrecognized device. Visit appleid-lock.com to secure your account. Reply STOP to opt out.
