label,message
spam,Venmo: A transaction was declined. Confirm your identity at http://reactivate-appleid.vip
spam,Venmo: A transaction was declined. Confirm your identity at http://secure-banking.biz
spam,FedEx: Shipment delayed. Update delivery address: http://venmo-security.biz
spam,CashApp: Payment of $500 pending. Verify transaction at http://login-costco-reward.com
spam,Venmo: A transaction was declined. Confirm your identity at http://update-shipping.net
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://update-shipping.net
spam,Bank Alert: Suspicious login. Secure your account now: http://usps-hold.top
spam,Netflix: Subscription expired. Update billing info: http://secure-tax-return.us
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://update-shipping.net
spam,Apple ID blocked due to unusual activity. Reactivate at http://reactivate-appleid.vip
spam,Costco Reward: You've won a $500 gift card. Claim at http://usps-hold.top
spam,Costco Reward: You've won a $500 gift card. Claim at http://verify-parcel.top
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://login-costco-reward.com
spam,Wells Fargo: Account login attempt from unknown device. Secure at http://fedex-verify.store
spam,Bank Alert: Suspicious login. Secure your account now: http://secure-tax-return.us
spam,Wells Fargo: Account login attempt from unknown device. Secure at http://update-shipping.net
spam,CashApp: Payment of $500 pending. Verify transaction at http://fedex-verify.store
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://venmo-security.biz
spam,PayPal: Account flagged. Restore access at http://auth-fb.com
spam,Apple ID blocked due to unusual activity. Reactivate at http://secure-banking.biz
spam,Netflix: Subscription expired. Update billing info: http://paypal-alert.net
spam,PayPal: Account flagged. Restore access at http://venmo-security.biz
spam,USPS: Your parcel is held due to an incomplete zip code. Confirm at http://update-shipping.net
spam,Venmo: A transaction was declined. Confirm your identity at http://usps-hold.top
spam,Netflix: Subscription expired. Update billing info: http://paypal-alert.net
spam,Amazon: Package undeliverable. Confirm your address: http://login-costco-reward.com
spam,Amazon: Package undeliverable. Confirm your address: http://dmv-payment.org
spam,Venmo: A transaction was declined. Confirm your identity at http://paypal-alert.net
spam,CashApp: Payment of $500 pending. Verify transaction at http://auth-fb.com
spam,Facebook: Your account has been locked. Restore at http://login-costco-reward.com
spam,Chase: Your account has been temporarily frozen. Resolve here: http://verify-parcel.top
spam,CashApp: Payment of $500 pending. Verify transaction at http://reactivate-appleid.vip
spam,CashApp: Payment of $500 pending. Verify transaction at http://venmo-security.biz
spam,Amazon: Package undeliverable. Confirm your address: http://dmv-payment.org
spam,CashApp: Payment of $500 pending. Verify transaction at http://secure-tax-return.us
spam,Apple ID blocked due to unusual activity. Reactivate at http://secure-banking.biz
spam,IRS: You are eligible for a tax refund. Claim now at http://secure-banking.biz
spam,CashApp: Payment of $500 pending. Verify transaction at http://login-costco-reward.com
spam,Amazon: Package undeliverable. Confirm your address: http://verify-parcel.top
spam,PayPal: Account flagged. Restore access at http://login-costco-reward.com
spam,Chase: Your account has been temporarily frozen. Resolve here: http://dmv-payment.org
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://dmv-payment.org
spam,Wells Fargo: Account login attempt from unknown device. Secure at http://login-costco-reward.com
spam,PayPal: Account flagged. Restore access at http://fedex-verify.store
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://fedex-verify.store
spam,Chase: Your account has been temporarily frozen. Resolve here: http://update-shipping.net
spam,CashApp: Payment of $500 pending. Verify transaction at http://fedex-verify.store
spam,Amazon: Package undeliverable. Confirm your address: http://login-costco-reward.com
spam,PayPal: Account flagged. Restore access at http://auth-fb.com
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://dmv-payment.org
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://login-costco-reward.com
spam,Wells Fargo: Account login attempt from unknown device. Secure at http://usps-hold.top
spam,Venmo: A transaction was declined. Confirm your identity at http://verify-parcel.top
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://dmv-payment.org
spam,CashApp: Payment of $500 pending. Verify transaction at http://reactivate-appleid.vip
spam,FedEx: Shipment delayed. Update delivery address: http://dmv-payment.org
spam,USPS: Your parcel is held due to an incomplete zip code. Confirm at http://secure-banking.biz
spam,Facebook: Your account has been locked. Restore at http://verify-parcel.top
spam,Amazon: Package undeliverable. Confirm your address: http://dmv-payment.org
spam,Costco Reward: You've won a $500 gift card. Claim at http://auth-fb.com
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://reactivate-appleid.vip
spam,Amazon: Package undeliverable. Confirm your address: http://login-costco-reward.com
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://fedex-verify.store
spam,Chase: Your account has been temporarily frozen. Resolve here: http://fedex-verify.store
spam,PayPal: Account flagged. Restore access at http://usps-hold.top
spam,Facebook: Your account has been locked. Restore at http://reactivate-appleid.vip
spam,USPS: Your parcel is held due to an incomplete zip code. Confirm at http://usps-hold.top
spam,Facebook: Your account has been locked. Restore at http://venmo-security.biz
spam,Costco Reward: You've won a $500 gift card. Claim at http://fedex-verify.store
spam,Bank Alert: Suspicious login. Secure your account now: http://auth-fb.com
spam,FedEx: Shipment delayed. Update delivery address: http://login-costco-reward.com
spam,Wells Fargo: Account login attempt from unknown device. Secure at http://usps-hold.top
spam,Bank Alert: Suspicious login. Secure your account now: http://update-shipping.net
spam,Apple ID blocked due to unusual activity. Reactivate at http://login-costco-reward.com
spam,USPS: Your parcel is held due to an incomplete zip code. Confirm at http://secure-banking.biz
spam,Bank Alert: Suspicious login. Secure your account now: http://dmv-payment.org
spam,Costco Reward: You've won a $500 gift card. Claim at http://secure-tax-return.us
spam,FedEx: Shipment delayed. Update delivery address: http://secure-tax-return.us
spam,Venmo: A transaction was declined. Confirm your identity at http://update-shipping.net
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://secure-tax-return.us
spam,Venmo: A transaction was declined. Confirm your identity at http://auth-fb.com
spam,DMV Toll Notice: Unpaid toll detected. Avoid suspension by paying at http://login-costco-reward.com
spam,FedEx: Shipment delayed. Update delivery address: http://update-shipping.net
spam,Facebook: Your account has been locked. Restore at http://auth-fb.com
spam,PayPal: Account flagged. Restore access at http://auth-fb.com
spam,Amazon: Package undeliverable. Confirm your address: http://fedex-verify.store
spam,Netflix: Subscription expired. Update billing info: http://auth-fb.com
spam,Costco Reward: You've won a $500 gift card. Claim at http://fedex-verify.store
spam,Bank Alert: Suspicious login. Secure your account now: http://login-costco-reward.com
spam,PayPal: Account flagged. Restore access at http://verify-parcel.top
spam,PayPal: Account flagged. Restore access at http://login-costco-reward.com
spam,Bank Alert: Suspicious login. Secure your account now: http://verify-parcel.top
spam,FedEx: Shipment delayed. Update delivery address: http://update-shipping.net
spam,CashApp: Payment of $500 pending. Verify transaction at http://secure-tax-return.us
spam,Bank Alert: Suspicious login. Secure your account now: http://login-costco-reward.com
spam,Netflix: Subscription expired. Update billing info: http://fedex-verify.store
spam,Amazon: Package undeliverable. Confirm your address: http://reactivate-appleid.vip
spam,Apple ID blocked due to unusual activity. Reactivate at http://auth-fb.com
spam,Venmo: A transaction was declined. Confirm your identity at http://secure-banking.biz
spam,Apple ID blocked due to unusual activity. Reactivate at http://venmo-security.biz
spam,PayPal: Account flagged. Restore access at http://reactivate-appleid.vip
spam,FedEx: Shipment delayed. Update delivery address: http://dmv-payment.org
spam,Amazon: Package undeliverable. Confirm your address: http://secure-banking.biz
