label,message
spam,Payment failed for your recent Walmart order. Resolve at https://verify-6.com/track. Reply Y to retry.
spam,Action needed: Your package from Best Buy is awaiting confirmation. https://verify-10.com/track Reply Y to release it.
spam,Your subscription will expire today. Renew now at https://verify-3.com/track Reply Y to continue service.
spam,Security notice: Suspicious login attempt detected. Verify at https://verify-20.com/track. Reply with Y to secure account.
spam,We attempted delivery for your DHL parcel. Reschedule at https://verify-9.com/track Reply with 'Y' to proceed.
spam,We attempted delivery for your Amazon Logistics parcel. Reschedule at https://verify-8.com/track Reply with 'Y' to proceed.
spam,Security notice: Suspicious login attempt detected. Verify at https://verify-5.com/track. Reply with Y to secure account.
spam,Security notice: Suspicious login attempt detected. Verify at https://verify-15.com/track. Reply with Y to secure account.
spam,Your FedEx package is on hold due to address issues. Please confirm your address within 24 hours: https://verify-13.com/track Reply 'Y' to verify.
spam,Urgent: Bank alert for suspicious activity. View details at https://verify-10.com/track. Reply with Y to lock card.
spam,Security notice: Suspicious login attempt detected. Verify at https://verify-7.com/track. Reply with Y to secure account.
spam,Your subscription will expire today. Renew now at https://verify-15.com/track Reply Y to continue service.
spam,Action needed: Your package from eBay is awaiting confirmation. https://verify-4.com/track Reply Y to release it.
spam,Package arrival notification: held at facility. Schedule delivery: https://verify-17.com/track Reply with Y to confirm.
spam,We attempted delivery for your FedEx parcel. Reschedule at https://verify-14.com/track Reply with 'Y' to proceed.
spam,Alert: Your recent order requires verification. Visit https://verify-20.com/track and reply 'Y' to confirm identity.
spam,You've won a Smartwatch! Claim it here: https://verify-11.com/track Reply 'Y' to redeem.
spam,Your USPS package is on hold due to address issues. Please confirm your address within 24 hours: https://verify-20.com/track Reply 'Y' to verify.
spam,Package arrival notification: held at facility. Schedule delivery: https://verify-10.com/track Reply with Y to confirm.
spam,Security notice: Suspicious login attempt detected. Verify at https://verify-11.com/track. Reply with Y to secure account.
spam,Security notice: Suspicious login attempt detected. Verify at https://verify-12.com/track. Reply with Y to secure account.
spam,Action needed: Your package from eBay is awaiting confirmation. https://verify-9.com/track Reply Y to release it.
spam,We attempted delivery for your UPS parcel. Reschedule at https://verify-12.com/track Reply with 'Y' to proceed.
spam,Your subscription will expire today. Renew now at https://verify-10.com/track Reply Y to continue service.
spam,Security notice: Suspicious login attempt detected. Verify at https://verify-15.com/track. Reply with Y to secure account.
spam,Your FedEx package is on hold due to address issues. Please confirm your address within 24 hours: https://verify-18.com/track Reply 'Y' to verify.
spam,You've won a Free iPhone! Claim it here: https://verify-16.com/track Reply 'Y' to redeem.
spam,Action needed: Your package from Best Buy is awaiting confirmation. https://verify-9.com/track Reply Y to release it.
spam,Urgent: Bank alert for suspicious activity. View details at https://verify-7.com/track. Reply with Y to lock card.
spam,Alert: Your recent order requires verification. Visit https://verify-12.com/track and reply 'Y' to confirm identity.
spam,Security notice: Suspicious login attempt detected. Verify at https://verify-12.com/track. Reply with Y to secure account.
spam,Security notice: Suspicious login attempt detected. Verify at https://verify-8.com/track. Reply with Y to secure account.
spam,Your subscription will expire today. Renew now at https://verify-20.com/track Reply Y to continue service.
spam,Package arrival notification: held at facility. Schedule delivery: https://verify-8.com/track Reply with Y to confirm.
spam,We attempted delivery for your UPS parcel. Reschedule at https://verify-1.com/track Reply with 'Y' to proceed.
spam,Action needed: Your package from Best Buy is awaiting confirmation. https://verify-13.com/track Reply Y to release it.
spam,Payment failed for your recent Best Buy order. Resolve at https://verify-18.com/track. Reply Y to retry.
spam,Action needed: Your package from eBay is awaiting confirmation. https://verify-1.com/track Reply Y to release it.
spam,Payment failed for your recent Amazon order. Resolve at https://verify-20.com/track. Reply Y to retry.
